UTC Time,Elapsed Time (s),Angle (degrees),Current,Confidence
2025-04-17T20:21:32.698040+00:00,0.028,220.8,2.5,0.0
2025-04-17T20:21:32.822182+00:00,0.152,208.4,2.5,0.0
2025-04-17T20:21:32.930569+00:00,0.261,106.0,2.5,4.3
2025-04-17T20:21:33.054087+00:00,0.384,106.0,2.5,0.0
2025-04-17T20:21:33.161665+00:00,0.492,106.0,2.5,0.0
2025-04-17T20:21:33.286300+00:00,0.617,106.0,2.5,0.0
2025-04-17T20:21:33.395541+00:00,0.726,106.0,2.5,0.0
2025-04-17T20:21:33.520505+00:00,0.851,106.0,2.5,0.0
2025-04-17T20:21:33.627628+00:00,0.958,106.0,2.5,0.0
2025-04-17T20:21:33.753945+00:00,1.084,106.0,2.5,0.0
2025-04-17T20:21:33.863734+00:00,1.194,106.0,2.5,0.0
2025-04-17T20:21:33.990527+00:00,1.321,106.0,2.5,0.0
2025-04-17T20:21:34.097499+00:00,1.428,106.0,2.5,0.0
2025-04-17T20:21:34.222040+00:00,1.552,106.0,2.5,0.0
2025-04-17T20:21:34.330276+00:00,1.660,106.0,2.5,0.0
2025-04-17T20:21:34.453198+00:00,1.783,106.0,2.5,0.0
2025-04-17T20:21:34.562208+00:00,1.892,106.0,2.5,0.0
2025-04-17T20:21:34.686517+00:00,2.017,106.0,2.5,0.0
2025-04-17T20:21:34.795216+00:00,2.125,106.0,2.5,0.0
2025-04-17T20:21:34.919825+00:00,2.250,106.0,2.5,0.0
2025-04-17T20:21:35.029768+00:00,2.360,106.0,2.5,0.0
2025-04-17T20:21:35.153932+00:00,2.484,138.2,2.5,35.5
2025-04-17T20:21:35.262912+00:00,2.593,177.8,2.5,60.7
2025-04-17T20:21:35.386993+00:00,2.717,98.5,2.5,31.7
2025-04-17T20:21:35.496984+00:00,2.827,89.8,2.5,30.4
2025-04-17T20:21:35.619918+00:00,2.950,78.1,2.5,2.1
2025-04-17T20:21:35.728258+00:00,3.058,78.1,2.5,0.0
2025-04-17T20:21:35.867068+00:00,3.197,78.1,2.5,0.0
2025-04-17T20:21:35.989845+00:00,3.320,78.1,2.5,0.0
