UTC Time,Time,Angle,Confidence
2025-04-17T20:13:17.947,9.454458951950073,,0.0
2025-04-17T20:13:18.047,9.554700136184692,,0.0
2025-04-17T20:13:18.147,9.654407978057861,,0.0
2025-04-17T20:13:18.247,9.754465103149414,,0.0
2025-04-17T20:13:18.347,9.854514837265015,,0.0
2025-04-17T20:13:18.456,9.963073968887329,,0.0
2025-04-17T20:13:18.548,10.055166959762573,,0.0
2025-04-17T20:13:18.646,10.153446912765503,,0.0
2025-04-17T20:13:18.749,10.25608491897583,,0.0
2025-04-17T20:13:18.847,10.354249954223633,,0.0
2025-04-17T20:13:18.947,10.454160928726196,,0.0
2025-04-17T20:13:19.047,10.5541250705719,,0.0
2025-04-17T20:13:19.147,10.654290914535522,,0.0
2025-04-17T20:13:19.247,10.75417184829712,,0.0
2025-04-17T20:13:19.347,10.853903770446777,,0.0
2025-04-17T20:13:19.447,10.953872919082642,,0.0
2025-04-17T20:13:19.547,11.053897857666016,,0.0
2025-04-17T20:13:19.647,11.154260873794556,,0.0
2025-04-17T20:13:19.747,11.25383710861206,,0.0
2025-04-17T20:13:19.847,11.35381293296814,,0.0
2025-04-17T20:13:19.946,11.45360803604126,,0.0
2025-04-17T20:13:20.046,11.55376410484314,,0.0
2025-04-17T20:13:20.146,11.653572797775269,,0.0
2025-04-17T20:13:20.246,11.753573894500732,,0.0
2025-04-17T20:13:20.346,11.853579998016357,,0.0
2025-04-17T20:13:20.446,11.953526973724365,,0.0
2025-04-17T20:13:20.546,12.053503036499023,,0.0
2025-04-17T20:13:20.646,12.153391122817993,,0.0
2025-04-17T20:13:20.746,12.25330400466919,,0.0
2025-04-17T20:13:20.846,12.353238105773926,,0.0
2025-04-17T20:13:20.945,12.45265507698059,,0.0
2025-04-17T20:13:21.045,12.55266785621643,,0.0
2025-04-17T20:13:21.145,12.652600049972534,,0.0
2025-04-17T20:13:21.246,12.752994060516357,,0.0
2025-04-17T20:13:21.346,12.852813959121704,,0.0
2025-04-17T20:13:21.446,12.95299506187439,,0.0
2025-04-17T20:13:21.546,13.05286192893982,,0.0
