UTC Time,Resultant Angle
2025-04-10T19:09:11.545,
2025-04-10T19:09:12.408,
2025-04-10T19:09:12.593,265.7636052009412
2025-04-10T19:09:12.677,267.70938995736145
2025-04-10T19:09:12.777,
2025-04-10T19:09:12.905,
2025-04-10T19:09:13.007,
2025-04-10T19:09:13.101,
2025-04-10T19:09:13.201,
2025-04-10T19:09:13.302,
2025-04-10T19:09:13.401,
2025-04-10T19:09:13.503,
2025-04-10T19:09:13.602,
2025-04-10T19:09:13.703,
2025-04-10T19:09:13.801,
2025-04-10T19:09:13.901,
2025-04-10T19:09:14.001,
2025-04-10T19:09:14.101,
2025-04-10T19:09:14.203,
2025-04-10T19:09:14.301,
2025-04-10T19:09:14.401,
2025-04-10T19:09:14.501,
2025-04-10T19:09:14.601,
2025-04-10T19:09:14.701,
2025-04-10T19:09:14.801,
2025-04-10T19:09:14.903,
2025-04-10T19:09:15.001,
2025-04-10T19:09:15.101,
2025-04-10T19:09:15.200,
2025-04-10T19:09:15.300,
2025-04-10T19:09:15.401,
2025-04-10T19:09:15.500,
2025-04-10T19:09:15.602,
2025-04-10T19:09:15.700,
2025-04-10T19:09:15.801,
2025-04-10T19:09:15.900,
2025-04-10T19:09:16.000,
2025-04-10T19:09:16.100,
2025-04-10T19:09:16.200,
2025-04-10T19:09:16.304,
2025-04-10T19:09:16.400,
2025-04-10T19:09:16.502,
2025-04-10T19:09:16.600,
2025-04-10T19:09:16.700,
2025-04-10T19:09:16.800,
2025-04-10T19:09:16.900,
2025-04-10T19:09:17.002,
2025-04-10T19:09:17.100,
2025-04-10T19:09:17.201,
2025-04-10T19:09:17.301,
2025-04-10T19:09:17.402,
2025-04-10T19:09:17.500,
2025-04-10T19:09:17.600,
2025-04-10T19:09:17.701,
2025-04-10T19:09:17.801,
2025-04-10T19:09:17.901,
2025-04-10T19:09:18.001,
2025-04-10T19:09:18.100,
2025-04-10T19:09:18.201,
2025-04-10T19:09:18.300,
2025-04-10T19:09:18.402,
2025-04-10T19:09:18.500,
